session_id,symbol,side,original_notional_value,negotiated_notional_value,round_index,role,agent_name,vote,proposed_notional_value,confidence,reason,term_compliance_review,term_max_adv_fraction,term_adv_notional,term_max_liquid_notional,term_risk_status,diagnostic_VaR_95,diagnostic_CVaR_95,diagnostic_P_loss_gt_limit,diagnostic_max_symbol_weight_after,diagnostic_gross_exposure_multiple_after,term_execution_style,term_child_order_count,term_max_participation_rate,diagnostic_trade_adv_fraction,term_max_distributional_notional,diagnostic_original_shield_status,diagnostic_negotiated_shield_status,term_hard_block,term_manual_liquidity_review
07385510,MSFT,BUY,120000.0,120000.0,1,compliance,ComplianceNegotiator,accept,120000.0,0.99,Compliance accepts the symbol and action type subject to final shield review.,passed,,,,,,,,,,,,,,,,,,
07385510,MSFT,BUY,120000.0,120000.0,1,risk,LiquidityNegotiator,accept,120000.0,0.9,Liquidity accepts the requested size.,,0.15,6000000000.0,900000000.0,,,,,,,,,,,,,,,
07385510,MSFT,BUY,120000.0,120000.0,1,risk,DistributionalRiskNegotiator,accept,120000.0,0.96,Distributional risk accepts the current notional.,,,,,allow,56889.6215785763,71273.23831212193,0.0098,0.26,0.978,,,,,,,,,
07385510,MSFT,BUY,120000.0,120000.0,1,portfolio_manager,ExecutionNegotiator,accept,120000.0,0.8,Execution accepts the negotiated notional with standard controls.,,,,,,,,,,,standard_limit_or_vwap,1.0,0.1,2e-05,,,,,
7d629bdc,NVDA,BUY,650000.0,565459.594130516,1,compliance,ComplianceNegotiator,accept,650000.0,0.99,Compliance accepts the symbol and action type subject to final shield review.,passed,,,,,,,,,,,,,,,,,,
7d629bdc,NVDA,BUY,650000.0,565459.594130516,1,risk,LiquidityNegotiator,accept,650000.0,0.9,Liquidity accepts the requested size.,,0.15,12000000000.0,1800000000.0,,,,,,,,,,,,,,,
7d629bdc,NVDA,BUY,650000.0,565459.594130516,1,risk,DistributionalRiskNegotiator,escalate,565459.594130516,0.95,Risk found only an escalated notional; human approval is required.,,,,,,80000.67241201224,100160.23400103167,0.05,0.3061838376522064,1.1561838376522064,,,,,565459.594130516,reject,escalate,,
7d629bdc,NVDA,BUY,650000.0,565459.594130516,1,portfolio_manager,ExecutionNegotiator,accept,650000.0,0.8,Execution accepts the negotiated notional with standard controls.,,,,,,,,,,,standard_limit_or_vwap,1.0,0.1,5.4166666666666664e-05,,,,,
7d629bdc,NVDA,BUY,650000.0,565459.594130516,2,compliance,ComplianceNegotiator,accept,565459.594130516,0.99,Compliance accepts the symbol and action type subject to final shield review.,passed,,,,,,,,,,,,,,,,,,
7d629bdc,NVDA,BUY,650000.0,565459.594130516,2,risk,LiquidityNegotiator,accept,565459.594130516,0.9,Liquidity accepts the requested size.,,0.15,12000000000.0,1800000000.0,,,,,,,,,,,,,,,
