doc_id,source_file,source_type,symbol,topic,section,status,side,notional_value,text
M001,inline_policy_docs,architecture,,agentic_rag_architecture,core_pipeline,,,,"The architecture is LLM proposes, typed Pydantic schema validates semantic form, deterministic rules check institutional admissibility, distributional risk gates evaluate post-trade VaR, CVaR and tail-loss probability, and only then can execution routing proceed."
M002,inline_policy_docs,governance,,non_weakening_rule,multi_agent_invariant,,,,"The committee and negotiator can recommend, challenge, reduce, condition, escalate or reject a proposal, but they can never weaken the shield. Final status is the stricter of agent decision and distributional shield decision."
M003,inline_policy_docs,risk_model,,post_trade_distribution,risk_assumptions,,,,"Risk gates are defined on post-trade total portfolio risk. The implemented functionals are VaR 95, CVaR 95 and probability that loss exceeds the maximum loss threshold. These are the auditable governance controls together with deterministic rule names, reason strings, committee votes and negotiation offers."
M004,inline_policy_docs,rag_policy,,evidence_policy,rag_grounding,,,,"An agentic RAG answer should cite retrieved audit rows, committee decisions, negotiator outcomes or modeling assumptions. If evidence is weak, contradictory or missing, the answer must escalate rather than invent a trade recommendation."
AUDIT_000,agentic_finance_giant_notebook_audit_log.csv,single_shield_audit,AAPL,distributional_shield_decision,core_examples,allow,BUY,250000.0,"Audit scenario core_examples for BUY AAPL notional 250,000 (250k): status allow. Reason: All deterministic and distributional checks passed. VaR_95 61,221.13, CVaR_95 76,656.51, tail probability 0.0150, max symbol weight 0.3600, gross exposure multiple 1.0300. Rules checked: RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK | METRIC_SANITY_CHECK."
AUDIT_001,agentic_finance_giant_notebook_audit_log.csv,single_shield_audit,TSLA,distributional_shield_decision,core_examples,reject,BUY,800000.0,"Audit scenario core_examples for BUY TSLA notional 800,000 (800k): status reject. Reason: Tail-loss probability 8.94% exceeds limit 5.00%. VaR_95 98,222.39, CVaR_95 122,872.24, tail probability 0.0894, max symbol weight 0.4200, gross exposure multiple 1.2500. Rules checked: RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK | METRIC_SANITY_CHECK."
AUDIT_002,agentic_finance_giant_notebook_audit_log.csv,single_shield_audit,TSLA,distributional_shield_decision,core_examples,reject,BUY,1200000.0,"Audit scenario core_examples for BUY TSLA notional 1,200,000 (1200k): status reject. Reason: Notional $1,200,000.00 exceeds desk limit $1,000,000.00. VaR_95 n/a, CVaR_95 n/a, tail probability n/a, max symbol weight n/a, gross exposure multiple n/a. Rules checked: RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK."
AUDIT_003,agentic_finance_giant_notebook_audit_log.csv,single_shield_audit,GME,distributional_shield_decision,core_examples,reject,BUY,50000.0,"Audit scenario core_examples for BUY GME notional 50,000 (50k): status reject. Reason: Symbol GME is restricted. VaR_95 n/a, CVaR_95 n/a, tail probability n/a, max symbol weight n/a, gross exposure multiple n/a. Rules checked: RESTRICTED_LIST_CHECK."
AUDIT_004,agentic_finance_giant_notebook_audit_log.csv,single_shield_audit,SHIB,distributional_shield_decision,core_examples,reject,BUY,10000.0,"Audit scenario core_examples for BUY SHIB notional 10,000 (10k): status reject. Reason: Symbol SHIB is outside the approved risk universe. VaR_95 n/a, CVaR_95 n/a, tail probability n/a, max symbol weight n/a, gross exposure multiple n/a. Rules checked: RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK."
AUDIT_005,agentic_finance_giant_notebook_audit_log.csv,single_shield_audit,TSLA,distributional_shield_decision,core_examples,allow,SELL,200000.0,"Audit scenario core_examples for SELL TSLA notional 200,000 (200k): status allow. Reason: All deterministic and distributional checks passed. VaR_95 45,042.70, CVaR_95 56,290.67, tail probability 0.0019, max symbol weight 0.2600, gross exposure multiple 0.8500. Rules checked: RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK | METRIC_SANITY_CHECK."
AUDIT_006,agentic_finance_giant_notebook_audit_log.csv,single_shield_audit,NVDA,distributional_shield_decision,core_examples,reject,BUY,700000.0,"Audit scenario core_examples for BUY NVDA notional 700,000 (700k): status reject. Reason: Tail-loss probability 6.51% exceeds limit 5.00%. VaR_95 86,701.61, CVaR_95 108,484.43, tail probability 0.0651, max symbol weight 0.3600, gross exposure multiple 1.2100. Rules checked: RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK | METRIC_SANITY_CHECK."
AUDIT_007,agentic_finance_giant_notebook_audit_log.csv,single_shield_audit,AAPL,distributional_shield_decision,mock_llm_examples,allow,BUY,250000.0,"Audit scenario mock_llm_examples for BUY AAPL notional 250,000 (250k): status allow. Reason: All deterministic and distributional checks passed. VaR_95 61,221.13, CVaR_95 76,656.51, tail probability 0.0150, max symbol weight 0.3600, gross exposure multiple 1.0300. Rules checked: RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK | METRIC_SANITY_CHECK."
