scenario_set,audit_id,status,reason,symbol,side,asset_class,notional_value,VaR_95,CVaR_95,P_loss_gt_limit,Expected_loss,Loss_std,Max_symbol_weight_after,Gross_exposure_multiple_after,Trade_ADV_fraction,Stress_label,Distribution,Stress_multiplier,rules
core_examples,081db165,allow,All deterministic and distributional checks passed.,AAPL,BUY,equity,250000.0,61221.13173061899,76656.51337320739,0.015,113.32107005461313,37309.27753230064,0.36,1.03,3.125e-05,base,normal,1.0,RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK
core_examples,8e9f2aa2,reject,Tail-loss probability 8.94% exceeds limit 5.00%.,TSLA,BUY,equity,800000.0,98222.38549337994,122872.23617916953,0.08936,205.91994551551394,59919.13675629387,0.42,1.25,8e-05,base,normal,1.0,RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK
core_examples,f9e55584,reject,"Notional $1,200,000.00 exceeds desk limit $1,000,000.00.",TSLA,BUY,equity,1200000.0,,,,,,,,,,,,RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK
core_examples,32d55df9,reject,Symbol GME is restricted.,GME,BUY,equity,50000.0,,,,,,,,,,,,RESTRICTED_LIST_CHECK
core_examples,5bc20500,reject,Symbol SHIB is outside the approved risk universe.,SHIB,BUY,equity,10000.0,,,,,,,,,,,,RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK
core_examples,720904e9,allow,All deterministic and distributional checks passed.,TSLA,SELL,equity,200000.0,45042.70339958709,56290.67423442598,0.00192,62.176780456139426,27458.328715239477,0.26,0.85,2e-05,base,normal,1.0,RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK
core_examples,f893e5bc,reject,Tail-loss probability 6.51% exceeds limit 5.00%.,NVDA,BUY,equity,700000.0,86701.61296522015,108484.43351554504,0.06512,196.7459521084003,52969.81463409339,0.36,1.21,5.833333333333333e-05,base,normal,1.0,RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK
mock_llm_examples,0cb12ea6,allow,All deterministic and distributional checks passed.,AAPL,BUY,equity,250000.0,61221.13173061899,76656.51337320739,0.015,113.32107005461313,37309.27753230064,0.36,1.03,3.125e-05,base,normal,1.0,RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK
mock_llm_examples,cc7a0d0d,reject,Tail-loss probability 8.94% exceeds limit 5.00%.,TSLA,BUY,equity,800000.0,98222.38549337994,122872.23617916953,0.08936,205.91994551551394,59919.13675629387,0.42,1.25,8e-05,base,normal,1.0,RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK
mock_llm_examples,6beaba28,reject,Symbol GME is restricted.,GME,BUY,equity,50000.0,,,,,,,,,,,,RESTRICTED_LIST_CHECK
