query_id,rank,doc_id,source_file,source_type,symbol,topic,section,retrieval_score,text
Q001,1,COMMITTEE_003,agentic_finance_multiagent_decision_log.csv,committee_decision,TLT,multi_agent_governance,committee_final_status,0.2665717802014075,"Committee decision db843406 for BUY TLT notional 175000: consensus status allow, final status allow. Consensus reason: Committee support and distributional shield approval are aligned. Final reason: Approved by multi-agent committee and distributional shield. Shield status allow because All deterministic and distributional checks passed.. Risk metrics: VaR_95 53995.56, CVaR_95 67448.60, tail probability 0.0070."
Q001,2,COMMITTEE_000,agentic_finance_multiagent_decision_log.csv,committee_decision,MSFT,multi_agent_governance,committee_final_status,0.2647219766510933,"Committee decision 7897af83 for BUY MSFT notional 75000: consensus status allow, final status allow. Consensus reason: Committee support and distributional shield approval are aligned. Final reason: Approved by multi-agent committee and distributional shield. Shield status allow because All deterministic and distributional checks passed.. Risk metrics: VaR_95 55838.97, CVaR_95 69975.29, tail probability 0.0090."
Q001,3,M002,README.md,governance,,non_weakening_rule,multi_agent_invariant,0.19902305410322993,"The committee and negotiator can recommend, challenge, reduce, condition, escalate or reject a proposal, but they can never weaken the shield. Final status is the stricter of agent decision and distributional shield decision."
Q001,4,NEGOTIATOR_004,agentic_finance_agent_negotiator_shield_outcomes.csv,negotiated_outcome,TLT,agent_negotiator_outcome,final_negotiated_terms,0.15921568082177162,"Negotiation session 838ef920 for BUY TLT: original notional 250000, negotiated notional 250000.00, reduction 0.00, negotiation status accepted, final status allow. Negotiation reason: Negotiation converged. Final reason: Negotiated terms and final distributional shield both allow execution. Shield status allow because All deterministic and distributional checks passed.. Execution style standard_limit_or_vwap, child orders 1, max participation rate 0.1. VaR_95 53849.36, CVaR_95 67353.75, tail probability 0.0072."
Q001,5,NEGOTIATOR_000,agentic_finance_agent_negotiator_shield_outcomes.csv,negotiated_outcome,MSFT,agent_negotiator_outcome,final_negotiated_terms,0.15808000455704713,"Negotiation session 11f2ebe7 for BUY MSFT: original notional 120000, negotiated notional 120000.00, reduction 0.00, negotiation status accepted, final status allow. Negotiation reason: Negotiation converged. Final reason: Negotiated terms and final distributional shield both allow execution. Shield status allow because All deterministic and distributional checks passed.. Execution style standard_limit_or_vwap, child orders 1, max participation rate 0.1. VaR_95 56889.62, CVaR_95 71273.24, tail probability 0.0098."
Q001,6,NEGOTIATOR_005,agentic_finance_agent_negotiator_shield_outcomes.csv,negotiated_outcome,HY_CDS,agent_negotiator_outcome,final_negotiated_terms,0.15742781556960433,"Negotiation session 60fe69f3 for BUY HY_CDS: original notional 5000000, negotiated notional 999999.94, reduction 4000000.06, negotiation status accepted, final status allow. Negotiation reason: Negotiation converged. Final reason: Negotiated terms and final distributional shield both allow execution. Shield status allow because All deterministic and distributional checks passed.. Execution style standard_limit_or_vwap, child orders 1, max participation rate 0.1. VaR_95 48384.28, CVaR_95 60494.51, tail probability 0.0038."
Q002,1,M001,README.md,architecture,,agentic_rag_architecture,core_pipeline,0.2569229905633186,"The architecture is LLM proposes, typed Pydantic schema validates semantic form, deterministic rules check institutional admissibility, distributional risk gates evaluate post-trade VaR, CVaR and tail-loss probability, and only then can execution routing proceed."
Q002,2,AUDIT_016,agentic_finance_giant_notebook_audit_log.csv,single_shield_audit,TLT,distributional_shield_decision,institutional_checks,0.0,"Audit scenario institutional_checks for BUY TLT notional 2000000: status reject. Reason: Gross exposure multiple 1.73 exceeds limit 1.60. VaR_95 nan, CVaR_95 nan, tail probability nan, max symbol weight nan, gross exposure multiple nan. Rules checked: RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK."
Q002,3,AUDIT_018,agentic_finance_giant_notebook_audit_log.csv,single_shield_audit,TSLA,distributional_shield_decision,buy_vs_sell,0.0,"Audit scenario buy_vs_sell for SELL TSLA notional 200000: status allow. Reason: All deterministic and distributional checks passed. VaR_95 45042.70, CVaR_95 56290.67, tail probability 0.0019, max symbol weight 0.2600, gross exposure multiple 0.8500. Rules checked: RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK."
Q002,4,AUDIT_019,agentic_finance_giant_notebook_audit_log.csv,single_shield_audit,NVDA,distributional_shield_decision,option_delta,0.0,"Audit scenario option_delta for BUY NVDA notional 600000: status reject. Reason: Tail-loss probability 5.36% exceeds limit 5.00%. VaR_95 81685.43, CVaR_95 102283.88, tail probability 0.0536, max symbol weight 0.3200, gross exposure multiple 1.1700. Rules checked: RESTRICTED_LIST_CHECK | NOTIONAL_LIMIT_CHECK | RISK_UNIVERSE_CHECK | LONG_ONLY_CHECK | GROSS_EXPOSURE_CHECK | CONCENTRATION_CHECK | LIQUIDITY_ADV_CHECK | DISTRIBUTIONAL_VAR_CHECK | DISTRIBUTIONAL_CVAR_CHECK | TAIL_PROBABILITY_CHECK."
